,n_period,threshold,cutoff,return,drawdown,sharpe,,Row Labels,Average of return,,,
2300,220,2.5,0.6,0.303621262,9.413163351,-0.284443681,,,,,,
2301,220,2.5,0.7,0.303621262,9.413163351,-0.284443681,,,,,,
2302,220,2.5,0.8,0.303621262,9.413163351,-0.284443681,,,,,,
2303,220,2.5,0.9,0.303621262,9.413163351,-0.284443681,,,,,,
2259,220,2.1,0.1,0.328600297,9.478033646,-0.286410777,,,,,,
2260,220,2.1,0.2,0.328600297,9.478033646,-0.286410777,,,,,,
2261,220,2.1,0.3,0.328600297,9.478033646,-0.286410777,,,,,,
2262,220,2.1,0.4,0.328600297,9.478033646,-0.286410777,,,,,,
2263,220,2.1,0.5,0.328600297,9.478033646,-0.286410777,,,,,,
2264,220,2.1,0.6,0.328600297,9.478033646,-0.286410777,,,,,,
2265,220,2.1,0.7,0.328600297,9.478033646,-0.286410777,,,,,,
2266,220,2.1,0.8,0.328600297,9.478033646,-0.286410777,,,,,,
