<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.05.31	14:00:00	1.04837	1.04927	1.04826	1.04890	4796	3653956214	51
2017.05.31	15:00:00	1.04890	1.04900	1.04776	1.04808	5351	3511183484	51
2017.05.31	16:00:00	1.04808	1.04824	1.04636	1.04725	7002	5566120886	51
2017.05.31	17:00:00	1.04725	1.04862	1.04630	1.04847	8981	6147707881	51
2017.05.31	18:00:00	1.04847	1.04905	1.04668	1.04712	8148	5689741987	51
2017.05.31	19:00:00	1.04713	1.04765	1.04698	1.04743	3952	3665963801	51
2017.05.31	20:00:00	1.04743	1.04759	1.04659	1.04686	3947	3040886100	51
2017.05.31	21:00:00	1.04686	1.04729	1.04657	1.04689	3472	2406462254	51
2017.05.31	22:00:00	1.04680	1.04852	1.04672	1.04842	3608	2818974642	51
2017.05.31	23:00:00	1.04841	1.04926	1.04840	1.04849	2208	1826574465	51
2017.06.01	00:00:00	1.04770	1.04907	1.04770	1.04876	1282	704084893	52
2017.06.01	01:00:00	1.04877	1.04898	1.04826	1.04876	2392	1320050000	51
2017.06.01	02:00:00	1.04877	1.04902	1.04792	1.04811	2343	1212100000	51
2017.06.01	03:00:00	1.04811	1.04853	1.04774	1.04809	3454	2080348141	51
2017.06.01	04:00:00	1.04811	1.05126	1.04751	1.04796	6905	4146049963	51
2017.06.01	05:00:00	1.04797	1.04802	1.04507	1.04576	7730	5276082149	51
2017.06.01	06:00:00	1.04576	1.04607	1.04443	1.04488	3617	2256669002	51
2017.06.01	07:00:00	1.04489	1.04595	1.04481	1.04595	3146	2324269204	51
2017.06.01	08:00:00	1.04592	1.04672	1.04565	1.04621	3922	2343018893	51
2017.06.01	09:00:00	1.04621	1.04736	1.04596	1.04661	4955	3064533583	51
2017.06.01	10:00:00	1.04661	1.04778	1.04623	1.04731	5113	3912665978	51
2017.06.01	11:00:00	1.04733	1.04774	1.04677	1.04681	4707	3731913020	51
2017.06.01	12:00:00	1.04681	1.04705	1.04574	1.04582	4050	2857655909	51
2017.06.01	13:00:00	1.04579	1.04586	1.04524	1.04549	3809	2448216320	51
2017.06.01	14:00:00	1.04550	1.04557	1.04461	1.04489	3541	2764249263	51
2017.06.01	15:00:00	1.04489	1.04577	1.04309	1.04533	7345	6844941164	51
2017.06.01	16:00:00	1.04533	1.04579	1.04344	1.04349	6946	5138224691	51
2017.06.01	17:00:00	1.04349	1.04455	1.04328	1.04416	7411	5534555881	51
2017.06.01	18:00:00	1.04415	1.04545	1.04346	1.04542	6433	4441775946	51
2017.06.01	19:00:00	1.04543	1.04595	1.04477	1.04527	3439	3260756201	51
2017.06.01	20:00:00	1.04528	1.04537	1.04442	1.04455	2427	1818006906	51
2017.06.01	21:00:00	1.04456	1.04474	1.04328	1.04367	3212	2392803324	51
2017.06.01	22:00:00	1.04367	1.04435	1.04363	1.04403	3169	2674709486	51
2017.06.01	23:00:00	1.04403	1.04458	1.04348	1.04394	1759	1248471024	51
2017.06.02	00:00:00	1.04392	1.04450	1.04293	1.04402	1502	538499734	51
2017.06.02	01:00:00	1.04400	1.04446	1.04377	1.04400	1802	1033852169	51
2017.06.02	02:00:00	1.04398	1.04494	1.04384	1.04493	2490	1091850000	51
2017.06.02	03:00:00	1.04492	1.04507	1.04401	1.04487	4061	2308455697	51
2017.06.02	04:00:00	1.04487	1.04492	1.04419	1.04445	3480	2081450477	51
2017.06.02	05:00:00	1.04444	1.04513	1.04415	1.04452	3027	1795050000	51
2017.06.02	06:00:00	1.04452	1.04481	1.04403	1.04448	2585	1734100208	51
2017.06.02	07:00:00	1.04447	1.04463	1.04402	1.04417	2857	1645746451	51
2017.06.02	08:00:00	1.04417	1.04418	1.04352	1.04362	2975	1876894894	53
2017.06.02	09:00:00	1.04359	1.04454	1.04341	1.04427	3402	2313494961	51
2017.06.02	10:00:00	1.04428	1.04428	1.04217	1.04224	3469	2465297000	51
2017.06.02	11:00:00	1.04224	1.04231	1.04110	1.04137	4041	2998413178	51
2017.06.02	12:00:00	1.04134	1.04265	1.04119	1.04223	3818	2835890822	51
2017.06.02	13:00:00	1.04218	1.04346	1.04182	1.04321	3826	2976493383	51
2017.06.02	14:00:00	1.04320	1.04352	1.04215	1.04221	4547	2998537562	51
2017.06.02	15:00:00	1.04221	1.04276	1.04007	1.04065	10170	6737676908	51
2017.06.02	16:00:00	1.04065	1.04198	1.03932	1.03941	9258	6793546930	51
2017.06.02	17:00:00	1.03941	1.04218	1.03884	1.04212	7671	5831311792	51
2017.06.02	18:00:00	1.04211	1.04265	1.04100	1.04175	6200	5040009772	51
2017.06.02	19:00:00	1.04173	1.04173	1.04089	1.04119	4483	3378162661	51
2017.06.02	20:00:00	1.04119	1.04167	1.04090	1.04123	3336	2741378085	51
2017.06.02	21:00:00	1.04123	1.04167	1.04068	1.04130	2475	1386237945	51
2017.06.02	22:00:00	1.04130	1.04229	1.04099	1.04151	2140	0	51
2017.06.02	23:00:00	1.04153	1.04190	1.03967	1.03967	2061	0	50
2017.06.05	00:00:00	1.04031	1.04105	1.03958	1.04092	602	0	82
2017.06.05	01:00:00	1.04084	1.04179	1.04072	1.04144	3977	0	51
2017.06.05	02:00:00	1.04146	1.04153	1.04030	1.04068	2582	0	51
2017.06.05	03:00:00	1.04066	1.04068	1.03948	1.03964	2981	0	51
2017.06.05	04:00:00	1.03962	1.04394	1.03948	1.04367	3825	0	51
2017.06.05	05:00:00	1.04367	1.04606	1.04366	1.04606	3588	0	51
2017.06.05	06:00:00	1.04605	1.04629	1.04484	1.04534	3379	0	51
2017.06.05	07:00:00	1.04536	1.04712	1.04519	1.04688	2491	0	51
2017.06.05	08:00:00	1.04689	1.04766	1.04682	1.04740	2918	0	51
2017.06.05	09:00:00	1.04739	1.04766	1.04647	1.04753	3847	0	51
2017.06.05	10:00:00	1.04749	1.04764	1.04663	1.04724	3214	0	51
2017.06.05	11:00:00	1.04725	1.04864	1.04710	1.04796	3376	0	51
2017.06.05	12:00:00	1.04796	1.04802	1.04753	1.04762	2820	0	51
2017.06.05	13:00:00	1.04762	1.04823	1.04718	1.04776	3488	0	51
2017.06.05	14:00:00	1.04776	1.04809	1.04746	1.04797	2529	0	51
2017.06.05	15:00:00	1.04797	1.04829	1.04747	1.04748	3454	0	51
2017.06.05	16:00:00	1.04750	1.04763	1.04633	1.04712	3765	0	51
2017.06.05	17:00:00	1.04713	1.04820	1.04667	1.04761	4702	0	51
2017.06.05	18:00:00	1.04762	1.04808	1.04692	1.04703	4128	0	51
2017.06.05	19:00:00	1.04702	1.04794	1.04702	1.04768	2746	0	51
2017.06.05	20:00:00	1.04768	1.04864	1.04762	1.04859	2710	0	51
