<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.08.17	1.09490	1.10272	1.09476	1.09993	53147	0	0
2020.08.18	1.09971	1.10429	1.09586	1.09706	63041	0	0
2020.08.19	1.09683	1.09798	1.09287	1.09447	68164	0	0
2020.08.20	1.09426	1.10324	1.09322	1.10034	73209	0	0
2020.08.21	1.10009	1.10312	1.09389	1.09459	68533	0	6
2020.08.24	1.09289	1.10017	1.09289	1.09715	56759	0	10
2020.08.25	1.09640	1.09993	1.09591	1.09854	60681	0	1
2020.08.26	1.09853	1.09959	1.09201	1.09221	59434	0	5
2020.08.27	1.09247	1.09426	1.08974	1.09310	79359	0	0
2020.08.28	1.09141	1.09568	1.09019	1.09222	75645	0	4
2020.08.31	1.09290	1.09542	1.09089	1.09523	67218	0	0
2020.09.01	1.09477	1.09590	1.08872	1.09067	81427	0	0
2020.09.02	1.09067	1.09127	1.08186	1.08335	72166	0	0
2020.09.03	1.08317	1.08589	1.08144	1.08327	76032	0	4
2020.09.04	1.08360	1.08551	1.08233	1.08316	81960	0	9
2020.09.07	1.08437	1.08773	1.08395	1.08701	44485	0	13
2020.09.08	1.08701	1.09179	1.08576	1.08961	73595	0	3
2020.09.09	1.08948	1.09129	1.08795	1.08937	66603	0	11
2020.09.10	1.08935	1.09350	1.08754	1.09107	75474	0	0
2020.09.11	1.09107	1.09302	1.09040	1.09224	59493	0	0
2020.09.14	1.09172	1.09249	1.08566	1.08752	52952	0	5
2020.09.15	1.08738	1.09101	1.08584	1.08739	51627	0	9
2020.09.16	1.08669	1.08817	1.08321	1.08501	63940	0	0
2020.09.17	1.08439	1.08864	1.08161	1.08219	76196	0	8
2020.09.18	1.08215	1.08346	1.07655	1.07780	65299	0	0
2020.09.21	1.07867	1.08366	1.07771	1.08321	69620	0	3
2020.09.22	1.08374	1.08495	1.07513	1.08034	70769	0	6
2020.09.23	1.08025	1.08209	1.07485	1.07976	74630	0	1
2020.09.24	1.07901	1.08088	1.07528	1.07596	75711	0	5
2020.09.25	1.07629	1.07772	1.07167	1.07316	65290	0	0
2020.09.28	1.07368	1.07924	1.07246	1.07859	57381	0	7
2020.09.29	1.07875	1.08220	1.07794	1.08114	60131	0	0
2020.09.30	1.08179	1.08489	1.07867	1.08188	71851	0	0
2020.10.01	1.08170	1.08465	1.07970	1.07985	67595	0	10
2020.10.02	1.08022	1.08053	1.07699	1.07847	75249	0	6
2020.10.05	1.07809	1.08212	1.07781	1.08092	50697	0	9
2020.10.06	1.07971	1.08296	1.07590	1.07748	66052	0	0
2020.10.07	1.07723	1.08627	1.07663	1.08439	56144	0	6
2020.10.08	1.08470	1.08941	1.08431	1.08877	50977	0	0
2020.10.09	1.08847	1.08929	1.08485	1.08497	48562	0	8
2020.10.12	1.08510	1.08584	1.08263	1.08420	45102	0	3
2020.10.13	1.08362	1.08531	1.07626	1.07667	60219	0	0
2020.10.14	1.07641	1.07880	1.07473	1.07567	57187	0	0
2020.10.15	1.07547	1.07618	1.07013	1.07507	67424	0	6
2020.10.16	1.07507	1.07524	1.07098	1.07124	54623	0	7
2020.10.19	1.07060	1.07296	1.06818	1.06998	51777	0	0
2020.10.20	1.06954	1.07250	1.06898	1.07077	55987	0	7
2020.10.21	1.07077	1.07218	1.06749	1.06934	61492	0	0
2020.10.22	1.06938	1.07030	1.06440	1.06596	57928	0	6
2020.10.23	1.06585	1.06889	1.06531	1.06639	51844	0	0
2020.10.26	1.06585	1.06726	1.06365	1.06629	61809	0	0
2020.10.27	1.06590	1.06689	1.06163	1.06214	51681	0	6
2020.10.28	1.06218	1.06585	1.06020	1.06057	72618	0	1
2020.10.29	1.06087	1.06319	1.05970	1.06004	75019	0	7
2020.10.30	1.05934	1.06337	1.05934	1.06214	85121	0	2
2020.11.02	1.06182	1.06413	1.06013	1.06335	71987	0	8
2020.11.03	1.06418	1.06990	1.06039	1.06914	63260	0	2
2020.11.04	1.06919	1.07375	1.06505	1.07176	111114	0	0
2020.11.05	1.07181	1.07582	1.06877	1.07527	86993	0	0
2020.11.06	1.07527	1.07545	1.06937	1.07143	79208	0	0
2020.11.09	1.07171	1.07291	1.06630	1.06683	94129	0	0
2020.11.10	1.06672	1.06750	1.06408	1.06593	85122	0	2
2020.11.11	1.06614	1.06849	1.05698	1.05769	64530	0	0
2020.11.12	1.05739	1.05872	1.05455	1.05697	67573	0	0
2020.11.13	1.05698	1.06299	1.05590	1.06118	54540	0	3
2020.11.16	1.06110	1.06257	1.05867	1.06007	65313	0	6
2020.11.17	1.06004	1.06268	1.05885	1.05906	55854	0	0
2020.11.18	1.05898	1.05924	1.05468	1.05481	62558	0	0
2020.11.19	1.05401	1.05672	1.05237	1.05337	67689	0	0
2020.11.20	1.05349	1.05379	1.05105	1.05355	64326	0	0
2020.11.23	1.05365	1.05456	1.05139	1.05206	58230	0	3
2020.11.24	1.05207	1.05541	1.04716	1.05437	64171	0	1
2020.11.25	1.05436	1.05620	1.04886	1.05086	57537	0	5
2020.11.26	1.05066	1.05239	1.04943	1.05028	35740	0	0
2020.11.27	1.05002	1.05182	1.04930	1.05006	48566	0	0
2020.11.30	1.05018	1.05205	1.04596	1.04616	62705	0	7
2020.12.01	1.04630	1.04836	1.04168	1.04284	58086	0	4
2020.12.02	1.04284	1.04975	1.04231	1.04857	62961	0	0
2020.12.03	1.04803	1.05219	1.04748	1.05049	54468	0	0
2020.12.04	1.05126	1.05677	1.05058	1.05356	59662	0	6
2020.12.07	1.05455	1.05583	1.05155	1.05305	59694	0	6
2020.12.08	1.05298	1.05616	1.05122	1.05190	56656	0	11
2020.12.09	1.05180	1.06029	1.05149	1.06013	60929	0	0
2020.12.10	1.06025	1.06411	1.05714	1.06145	66992	0	3
2020.12.11	1.06151	1.06556	1.06050	1.06249	64404	0	0
2020.12.14	1.06251	1.06546	1.06220	1.06370	57735	0	6
2020.12.15	1.06330	1.06681	1.06134	1.06604	58533	0	3
2020.12.16	1.06606	1.06904	1.06267	1.06508	60579	0	1
2020.12.17	1.06516	1.06695	1.06248	1.06546	53064	0	0
2020.12.18	1.06603	1.06927	1.06398	1.06744	55922	0	4
2020.12.21	1.06618	1.07011	1.06508	1.06710	90327	0	0
2020.12.22	1.06788	1.07135	1.06614	1.06854	72079	0	0
2020.12.23	1.06771	1.07111	1.06685	1.06773	68099	0	3
2020.12.24	1.06693	1.07163	1.06600	1.06600	48488	0	0
2020.12.25	1.06954	1.06988	1.06590	1.06742	1610	0	0
2020.12.28	1.06837	1.06978	1.06618	1.06686	52579	0	2
2020.12.29	1.06720	1.06793	1.06276	1.06351	53749	0	1
2020.12.30	1.06356	1.06743	1.06295	1.06638	57368	0	0
